bank_name,category,product_name,features,fees,interest_rate,eligibility
HDFC,Loan,HDFC Education Loan,Loans for Indian Education; Doorstep service,1.00%,9.50% - 13.00%,Student with Co-borrower
HDFC,Loan,HDFC Foreign Education Loan,Unsecured loans for top universities; Tax benefits,1.00%,9.50% - 13.00%,Student Admitted Abroad
HDFC,Loan,HDFC Doctor Loan,Professional loan for Doctors for clinic expansion,1.00%,11.00% - 15.00%,Doctor
HDFC,Loan,HDFC Business Loan,Unsecured loan for Business expansion; Overdraft facility,2.00%,11.90% - 21.35%,Business Vintage > 3 Yrs
HDFC,Loan,HDFC Loan Against Securities,Loan against Shares/Mutual Funds; Digital limit setting,Rs. 500,9.90% - 11.00%,Investor
HDFC,Loan,HDFC Gold Loan,Term Loan or Overdraft against Gold Jewelry,1.00%,9.00% - 16.00%,Anyone with Gold
HDFC,Loan,HDFC Kishore Mudra Loan,For small business needs (Rs 50k - 5L),Nil,8.50% - 10.00%,Small Business
HDFC,Loan,HDFC Tarun Mudra Loan,For business expansion (Rs 5L - 10L),0.50%,8.50% - 10.00%,Small Business
HDFC,Loan,HDFC Loan Against Property,High value loan for personal/business needs,1.00%,9.50% - 11.00%,Property Owner
HDFC,Scheme,HDFC Life Sanchay Plus,Guaranteed Income Plan; Life Cover,N/A,IRR ~ 5-6%,Any Individual
